ATC_level,Group,Description ,中文,Malignancy,P0,P1,P2,P3,P3.num,Event_Nonregular_user,Event_Regular_user,HR_multip0,HR_multip1,HR_multip2,HR_multip3,FDR
Level 4,G01AD,Antifungals for topical use,局部使用的抗真菌药,cancer,0.02,0.221,0.207,0.361,0.361348801,49424(10.7%),253(12.34%),1.159(1.024-1.311),1.08(0.955-1.222),1.083(0.957-1.225),1.059(0.936-1.199),0.603063564
Level 4,G02BA,Uterotonics,子宫肌瘤药,cancer,<0.001,<0.001,<0.001,<0.001,2.57E-05,49567(10.72%),110(7.27%),0.665(0.551-0.802),1.482(1.228-1.788),1.5(1.243-1.809),1.497(1.241-1.806),0.000426523
Level 4,G02CC,Antifibrinolytics,抗纤维蛋白溶解剂,cancer,<0.001,0.844,0.144,0.108,0.107805383,44092(10.93%),5585(9.27%),0.842(0.819-0.865),0.997(0.97-1.025),0.979(0.952-1.007),0.977(0.95-1.005),0.354697783
Level 4,G03AA,"Estrogens, natural and semisynthetic",雌性激素，天然和半合成的,cancer,<0.001,<0.001,<0.001,<0.001,4.13E-12,49546(10.73%),131(6.64%),0.599(0.504-0.711),1.71(1.439-2.033),1.833(1.542-2.179),1.843(1.55-2.191),2.74E-10
Level 4,G03AC,Progestogens,孕激素,cancer,<0.001,<0.001,<0.001,<0.001,1.06E-06,49480(10.74%),197(6.6%),0.595(0.518-0.685),1.422(1.235-1.637),1.423(1.236-1.638),1.421(1.234-1.636),2.35E-05
Level 4,G03CA,Estrogens and progestogens in combination,雌激素和孕激素的组合,cancer,<0.001,0.428,0.428,0.294,0.294394829,48807(10.73%),870(9.6%),0.885(0.828-0.947),0.973(0.909-1.041),0.973(0.909-1.041),0.964(0.901-1.032),0.554574808
Level 4,G03CX,Other sex hormones and modulators of the genital system,其他性激素和生殖系统的调节剂,cancer,0.081,0.012,0.015,0.018,0.017735421,49512(10.71%),165(12.24%),1.146(0.983-1.335),1.216(1.043-1.417),1.208(1.037-1.408),1.204(1.033-1.403),0.094352437
Level 4,G03DC,Antiandrogens,抗雄激素,cancer,<0.001,0.01,0.008,0.009,0.008978388,49605(10.72%),72(7.09%),0.641(0.509-0.808),1.358(1.077-1.712),1.37(1.087-1.728),1.362(1.08-1.717),0.059706281
Level 4,G03FA,"Hormonal contraceptives for systemic use, combinations",全身使用的荷尔蒙避孕药，组合物,cancer,<0.001,<0.001,<0.001,<0.001,2.67E-14,49109(10.69%),568(12.47%),1.175(1.082-1.276),1.4(1.288-1.521),1.38(1.27-1.5),1.382(1.272-1.502),3.55E-12
Level 4,G03FB,Progestogens for systemic use,全身使用的孕激素类药物,cancer,0.124,0.075,0.12,0.115,0.114676727,49509(10.72%),168(9.64%),0.888(0.763-1.033),1.148(0.986-1.336),1.128(0.969-1.313),1.13(0.971-1.315),0.354697783
Level 4,G04BD,Drugs for urinary frequency and incontinence,治疗尿频和尿失禁的药物,cancer,0.001,0.854,0.69,0.313,0.313073275,49204(10.7%),473(12.08%),1.163(1.063-1.274),1.009(0.921-1.104),0.982(0.897-1.075),0.954(0.871-1.045),0.559856397
Level 4,G04BE,Drugs used in erectile dysfunction,用于勃起功能障碍的药物,cancer,<0.001,0.008,0.053,0.304,0.304390684,49307(10.68%),370(16.5%),1.637(1.478-1.813),1.148(1.036-1.272),1.107(0.999-1.226),1.056(0.952-1.17),0.554574808
Level 4,G04CA,Alpha-adrenoreceptor antagonists,α-肾上腺素受体拮抗剂,cancer,<0.001,<0.001,<0.001,<0.001,1.66E-11,48647(10.6%),1030(20.46%),2.093(1.968-2.226),1.256(1.18-1.338),1.262(1.185-1.343),1.24(1.165-1.32),5.53E-10
Level 4,G04CB,Testosterone-5-alpha-reductase inhibitors,睾酮-5-α还原酶抑制剂,cancer,<0.001,0.177,0.139,0.263,0.262729747,49312(10.68%),365(18.55%),1.861(1.679-2.063),1.074(0.968-1.191),1.081(0.975-1.199),1.061(0.957-1.177),0.537585482
Level 4,H02AB,Glucocorticoids,糖皮质激素类药物,cancer,<0.001,<0.001,<0.001,0.001,0.001085669,48970(10.68%),707(13.93%),1.375(1.277-1.481),1.218(1.131-1.312),1.193(1.107-1.285),1.133(1.051-1.221),0.010313856
Level 4,H03AA,Thyroid hormones,甲状腺激素,cancer,0.019,<0.001,<0.001,<0.001,2.55E-08,47156(10.74%),2521(10.22%),0.953(0.916-0.992),0.918(0.881-0.956),0.907(0.871-0.944),0.891(0.855-0.928),6.78E-07
Level 4,J01AA,Tetracyclines,四环素类药物,cancer,0.562,0.251,0.285,0.361,0.360780877,49400(10.71%),277(11.12%),1.036(0.92-1.165),1.072(0.952-1.206),1.067(0.948-1.2),1.057(0.939-1.189),0.603063564
Level 4,L01BA,"Alkylating agents, nitrogen mustard analogues",烷基化剂、氮芥类似物,cancer,<0.001,0.003,0.013,0.135,0.135086834,49347(10.7%),330(13.37%),1.29(1.157-1.437),1.181(1.06-1.317),1.147(1.029-1.278),1.087(0.974-1.211),0.372548285
Level 4,L04AX,Other immunosuppressants,其他免疫抑制剂,cancer,<0.001,<0.001,<0.001,<0.001,4.52E-05,49187(10.69%),490(14.17%),1.382(1.264-1.51),1.308(1.197-1.43),1.274(1.165-1.392),1.205(1.102-1.318),0.000668605
Level 4,M01AB,Acetic acid derivatives and related substances,醋酸衍生物和相关物质,cancer,<0.001,0.116,0.844,0.622,0.622095561,48016(10.66%),1661(12.37%),1.163(1.107-1.221),1.04(0.99-1.092),1.005(0.957-1.055),0.988(0.94-1.038),0.787987711
Level 4,M01AC,Oxicams,氧胺类药物,cancer,0.049,0.666,0.357,0.178,0.177560305,49491(10.71%),186(12.24%),1.156(1.001-1.335),0.969(0.839-1.119),0.935(0.809-1.079),0.906(0.784-1.046),0.414307378
Level 4,M01AE,Propionic acid derivatives,丙酸衍生物,cancer,<0.001,0.914,0.154,0.111,0.110794008,44008(10.92%),5669(9.31%),0.846(0.822-0.869),0.998(0.971-1.027),0.98(0.953-1.008),0.978(0.951-1.005),0.354697783
Level 4,M01AH,COX-2 inhibitors,COX-2抑制剂,cancer,0.953,0.174,0.055,0.02,0.019509477,49493(10.71%),184(10.79%),1.004(0.869-1.161),0.904(0.783-1.045),0.868(0.751-1.003),0.841(0.728-0.973),0.099798479
Level 4,M01AX,"Other anti-inflammatory and antirheumatic agents, non-steroids",其他抗炎和抗风湿药物，非甾体类药物,cancer,<0.001,0.001,0.078,0.127,0.127482295,45885(10.62%),3792(12%),1.111(1.075-1.148),0.947(0.916-0.979),0.97(0.939-1.003),0.974(0.942-1.007),0.363237654
Level 4,M02AA,"Anti-inflammatory preparations, non-steroids for topical use",局部使用的非甾体类抗炎制剂,cancer,<0.001,0.602,0.25,0.117,0.117447442,42904(10.89%),6773(9.73%),0.888(0.866-0.911),1.007(0.981-1.033),0.985(0.96-1.011),0.98(0.955-1.005),0.355011585
Level 4,M04AA,Preparations inhibiting uric acid production,抑制尿酸生成的制剂,cancer,<0.001,<0.001,0.004,0.06,0.060242003,48854(10.65%),823(16.1%),1.605(1.498-1.719),1.146(1.07-1.229),1.107(1.032-1.186),1.069(0.997-1.146),0.213890869
Level 4,M05BA,Bisphosphonates,双磷酸盐类,cancer,<0.001,0.017,0.033,0.005,0.005023418,48845(10.69%),832(11.81%),1.144(1.068-1.225),0.919(0.858-0.985),0.928(0.866-0.994),0.906(0.845-0.971),0.037263609
Level 4,N02AA,Natural opium alkaloids,天然鸦片生物碱,cancer,<0.001,<0.001,0.072,0.571,0.57122556,49355(10.7%),322(13.28%),1.295(1.161-1.445),1.229(1.102-1.372),1.106(0.991-1.235),1.033(0.924-1.153),0.76726808
Level 4,N02AJ,Opioids in combination with non-opioid analgesics,阿片类药物与非阿片类镇痛剂联合使用,cancer,<0.001,<0.001,0.195,0.539,0.538536035,47543(10.63%),2134(12.81%),1.226(1.174-1.28),1.099(1.052-1.148),1.029(0.985-1.076),0.986(0.943-1.031),0.761971198
Level 4,N02AX,Other opioids,其他阿片类药物,cancer,<0.001,<0.001,<0.001,0.06,0.060149058,48962(10.68%),715(13.76%),1.334(1.239-1.436),1.256(1.166-1.352),1.146(1.064-1.234),1.075(0.997-1.159),0.213890869
Level 4,N02BA,Salicylic acid and derivatives,水杨酸及其衍生物,cancer,<0.001,<0.001,<0.001,0.93,0.930457252,40333(10.08%),9344(14.65%),1.504(1.471-1.538),1.08(1.055-1.106),1.05(1.026-1.075),0.999(0.974-1.024),0.959308639
Level 4,N02BE,Pyrazolones and analogues,吡唑啉酮类和类似物,cancer,<0.001,0.03,0.829,0.063,0.062719879,40896(10.82%),8781(10.24%),0.943(0.922-0.965),1.026(1.003-1.05),0.997(0.974-1.021),0.978(0.955-1.001),0.213890869
Level 4,N02CC,Antimigraine preparations,抗偏头痛制剂,cancer,0.002,0.552,0.347,0.382,0.382267517,49283(10.72%),394(9.42%),0.858(0.777-0.947),1.031(0.933-1.138),1.049(0.95-1.159),1.045(0.946-1.155),0.620019266
Level 4,N02CX,Other analgesics and antipyretics,其他镇痛剂和解热剂,cancer,0.959,0.356,0.595,0.834,0.833933275,49523(10.71%),154(10.72%),0.996(0.85-1.167),1.077(0.92-1.262),1.044(0.891-1.223),1.017(0.868-1.192),0.906748482
Level 4,N03AF,Carboxamide derivatives,羧酰胺类衍生物,cancer,0.043,0.089,0.187,0.363,0.362745001,49472(10.71%),205(12%),1.153(1.005-1.322),1.126(0.982-1.292),1.097(0.956-1.258),1.066(0.929-1.223),0.603063564
Level 4,N03AG,Fatty acid derivatives,脂肪酸衍生物,cancer,0.383,0.396,0.759,0.968,0.967501331,49538(10.71%),139(11.26%),1.077(0.912-1.272),1.075(0.91-1.269),1.026(0.869-1.213),0.997(0.844-1.177),0.982272344
Level 4,N03AX,Other antiepileptics,其他抗癫痫药,cancer,<0.001,<0.001,0.005,0.17,0.170434314,49162(10.7%),515(12.25%),1.197(1.098-1.306),1.2(1.1-1.309),1.133(1.039-1.236),1.063(0.974-1.161),0.410710387
Level 4,N05AB,Phenothiazines with aliphatic side-chain,脂肪族侧链的吩噻嗪类药物,cancer,0.003,0.062,0.161,0.326,0.325577518,49521(10.71%),156(13.27%),1.265(1.081-1.48),1.161(0.992-1.359),1.119(0.956-1.31),1.082(0.925-1.267),0.569760656
Level 4,N05BA,Benzodiazepine derivatives,苯二氮卓类衍生物,cancer,<0.001,<0.001,0.022,0.143,0.142856861,49458(10.7%),219(13.44%),1.31(1.147-1.496),1.279(1.12-1.461),1.168(1.022-1.334),1.105(0.967-1.262),0.372548285
Level 4,N05CD,Benzodiazepine derivatives,苯二氮卓类衍生物,cancer,0.011,0.588,0.585,0.275,0.274906664,49524(10.71%),153(12.73%),1.23(1.05-1.442),1.045(0.892-1.225),0.957(0.816-1.121),0.915(0.781-1.073),0.545710244
Level 4,N05CF,Benzodiazepine-related drugs,苯二氮卓相关药物,cancer,0.01,0.137,0.726,0.738,0.73835505,49439(10.71%),238(12.21%),1.182(1.04-1.342),1.102(0.97-1.251),1.023(0.901-1.162),0.978(0.861-1.112),0.861414225
Level 4,N06AA,Non-selective monoamine reuptake inhibitors,非选择性单胺再摄取抑制剂,cancer,<0.001,<0.001,0.004,0.258,0.25755658,48273(10.67%),1404(12.34%),1.179(1.118-1.243),1.131(1.072-1.193),1.081(1.024-1.14),1.032(0.977-1.089),0.535592333
Level 4,N06AB,Selective serotonin reuptake inhibitors (SSRIs),选择性5-羟色胺再摄取抑制剂（SSRIs）。,cancer,0.474,<0.001,0.035,0.473,0.473485112,47725(10.72%),1952(10.48%),0.984(0.94-1.029),1.109(1.06-1.161),1.05(1.003-1.099),1.017(0.971-1.065),0.707567639
Level 4,N06AX,Other antidepressants,其他抗抑郁药,cancer,0.036,<0.001,0.014,0.128,0.128362178,49057(10.7%),620(11.54%),1.088(1.005-1.178),1.168(1.079-1.265),1.105(1.02-1.196),1.064(0.982-1.152),0.363237654
Level 4,N06DX,Other anti-dementia drugs,其他抗痴呆症药物,cancer,0.031,0.291,0.546,0.724,0.723938408,49365(10.7%),312(12.31%),1.13(1.011-1.263),0.942(0.842-1.053),0.966(0.864-1.08),0.98(0.877-1.096),0.861414225
Level 4,N07CA,Antivertigo preparations,抗白癜风制剂,cancer,0.064,0.547,0.373,0.17,0.170365445,49472(10.71%),205(11.97%),1.138(0.992-1.306),0.959(0.836-1.1),0.939(0.819-1.078),0.908(0.792-1.042),0.410710387
Level 4,P01BC,Nitroimidazole derivatives,硝基咪唑衍生物,cancer,<0.001,<0.001,<0.001,0.016,0.01609156,49194(10.67%),483(16.86%),1.692(1.547-1.851),1.245(1.138-1.362),1.181(1.079-1.292),1.117(1.021-1.223),0.089174062
Level 4,R01AD,Corticosteroids,皮质类固醇药物,cancer,<0.001,0.067,0.066,0.839,0.838571905,47129(10.65%),2548(11.96%),1.143(1.098-1.19),1.038(0.997-1.08),1.038(0.998-1.08),1.004(0.964-1.046),0.906748482
Level 4,R02AX,Other throat preparations,其他喉部制剂,cancer,<0.001,0.984,0.272,0.255,0.255279031,44362(10.93%),5315(9.19%),0.832(0.809-0.856),1(0.972-1.029),0.984(0.956-1.013),0.983(0.956-1.012),0.535592333
Level 4,R03AC,Selective beta-2-adrenoreceptor agonists,选择性β-2肾上腺素受体激动剂,cancer,<0.001,<0.001,<0.001,0.142,0.141786284,46606(10.65%),3071(11.7%),1.117(1.077-1.158),1.11(1.07-1.151),1.074(1.035-1.114),1.029(0.991-1.069),0.372548285
Level 4,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excluding anticholinergics",肾上腺素类药物与皮质类固醇或其他药物联合使用，不包括抗胆碱能药物,cancer,<0.001,<0.001,0.005,0.301,0.300693802,48478(10.67%),1199(12.57%),1.216(1.148-1.288),1.125(1.062-1.191),1.086(1.025-1.15),1.031(0.973-1.094),0.554574808
Level 4,R03BA,Glucocorticoids,糖皮质激素类药物,cancer,<0.001,0.317,0.458,0.394,0.39358457,47611(10.68%),2066(11.5%),1.084(1.037-1.133),1.023(0.979-1.069),1.017(0.973-1.063),0.981(0.938-1.026),0.630683709
Level 4,R03BB,Anticholinergics,抗胆碱能药物,cancer,<0.001,<0.001,<0.001,<0.001,9.04E-12,49139(10.66%),538(20.78%),2.284(2.098-2.487),1.648(1.513-1.794),1.458(1.339-1.588),1.354(1.241-1.478),4.01E-10
Level 4,R03CC,Selective beta-2-adrenoreceptor agonists,选择性β-2肾上腺素受体激动剂,cancer,<0.001,<0.001,<0.001,0.014,0.014233477,47333(10.67%),2344(11.71%),1.113(1.068-1.16),1.131(1.085-1.179),1.097(1.053-1.144),1.055(1.011-1.101),0.089174062
Level 4,R03DC,Leukotriene receptor antagonists,白三烯受体拮抗剂,cancer,0.141,0.207,0.249,0.754,0.753792407,49537(10.71%),140(11.82%),1.133(0.96-1.337),1.113(0.943-1.314),1.103(0.934-1.302),1.027(0.869-1.213),0.864261983
Level 4,R05DA,Opium alkaloids and derivatives,鸦片生物碱和衍生物,cancer,0.005,0.135,0.649,0.747,0.74700291,49394(10.7%),283(12.36%),1.181(1.051-1.328),1.093(0.973-1.229),1.028(0.914-1.155),0.981(0.872-1.103),0.863925104
Level 4,R06AB,Aminoalkyl ethers,氨基烷基醚,cancer,0.963,0.316,0.385,0.52,0.520102806,49536(10.71%),141(10.82%),1.004(0.851-1.184),1.088(0.922-1.284),1.076(0.912-1.269),1.056(0.895-1.246),0.743802938
Level 4,R06AE,Piperazine derivatives,哌嗪衍生物,cancer,0.884,0.543,0.573,0.983,0.982830229,49015(10.71%),662(10.57%),0.994(0.921-1.074),1.024(0.948-1.106),1.022(0.947-1.104),0.999(0.925-1.079),0.990275913
Level 4,R06AX,Other antihistamines for systemic use,其他全身使用的抗组胺药,cancer,0.059,0.372,0.424,0.168,0.168369106,48968(10.72%),709(10.03%),0.931(0.865-1.003),0.967(0.898-1.041),0.97(0.901-1.045),0.949(0.881-1.022),0.410710387
Level 4,S01AA,Antibiotics,抗生素类,cancer,0.098,0.152,0.192,0.316,0.315708495,49413(10.71%),264(11.85%),1.108(0.981-1.25),1.092(0.968-1.233),1.084(0.96-1.223),1.064(0.943-1.201),0.559856397
Level 4,S01BA,Sulfonamides,磺胺类药物,cancer,<0.001,<0.001,<0.001,0.002,0.001765157,48949(10.68%),728(13.77%),1.355(1.259-1.458),1.205(1.12-1.296),1.181(1.098-1.271),1.125(1.045-1.211),0.015651059
Level 4,S01BC,Antivirals,抗病毒药物,cancer,<0.001,0.273,0.954,0.52,0.519634274,48432(10.68%),1245(12.13%),1.14(1.078-1.206),1.032(0.976-1.092),0.998(0.944-1.056),0.982(0.928-1.039),0.743802938
Level 4,S01CB, Corticosteroids/anti-infectives combinations, 皮质类固醇/抗感染药物组合,cancer,<0.001,<0.001,<0.001,0.006,0.005851325,49063(10.68%),614(13.71%),1.353(1.249-1.465),1.204(1.112-1.303),1.18(1.089-1.277),1.119(1.033-1.213),0.040959277
Level 4,S01ED,Beta-blocking agents,β-阻断剂,cancer,<0.001,0.841,0.739,0.832,0.832018157,49386(10.69%),291(14.73%),1.423(1.268-1.597),1.012(0.902-1.136),1.02(0.909-1.144),1.013(0.902-1.136),0.906748482
Level 4,S01EE, Prostaglandin analogues, 前列腺素类似物,cancer,<0.001,0.043,0.029,0.051,0.051229992,49189(10.68%),488(15.4%),1.514(1.385-1.655),1.097(1.003-1.199),1.104(1.01-1.207),1.093(1-1.195),0.200399674
Level 4,S01GX,Sensory organs,感觉器官,cancer,0.448,0.598,0.415,0.602,0.601532998,49537(10.71%),140(11.38%),1.066(0.903-1.259),1.046(0.886-1.234),1.071(0.908-1.265),1.045(0.885-1.234),0.777184805
Level 4,S01KA,Antiglaucoma preparations and miotics,抗青光眼制剂和miotics,cancer,0.066,0.45,0.373,0.173,0.172930689,49554(10.71%),123(12.28%),1.181(0.989-1.409),0.934(0.782-1.115),0.923(0.773-1.101),0.884(0.74-1.055),0.410710387
Level 4,S01XA,Ophthalmological and otological preparations,眼科和耳科制剂,cancer,<0.001,0.035,0.024,0.123,0.123273221,49058(10.69%),619(12.97%),1.231(1.137-1.333),1.089(1.006-1.179),1.096(1.012-1.186),1.065(0.983-1.153),0.363237654
Level 4,S02BA,Anti-inflammatory and anti-infective agents,抗炎和抗感染剂,cancer,<0.001,<0.001,<0.001,0.004,0.004274947,49020(10.68%),657(13.72%),1.353(1.253-1.461),1.201(1.112-1.297),1.179(1.092-1.274),1.12(1.036-1.21),0.035535493
Level 4,S03BA,Anti-inflammatory and anti-infective agents,消炎和抗感染剂,cancer,<0.001,<0.001,<0.001,<0.001,0.000771991,49157(10.68%),520(14.72%),1.472(1.35-1.605),1.259(1.155-1.373),1.23(1.128-1.341),1.161(1.064-1.267),0.008556238
